1,Colombo Kings,8,6,2,12,0.45
2,Dambulla Viiking,8,5,2,11,-1.09
3,Jaffna Stallions,8,4,3,9,0.78
4,Galle Gladiators,8,2,6,4,-0.2
5,Kandy Tuskers,8,2,6,4,-0.77
